Posts,Emotion
lo_âu trầm_cảm trải_nghiệm triệu_chứng đôi_khi chồng_chéo xác_định rõ_ràng triệu_chứng nhập_nhằng hai ngủ mệt_mỏi hứng_thú hoạt_động yêu đâykhông dễ_dàng xác_định nguyên_nhân gốc_rễ triệu_chứng trường_hợp dường_như trải_nghiệm triệu_chứng lo_âu trầm_cảm xác_định liệu đối_phó rối nhiễu lo_âu trầm_cảm hai hoang_mang bối_rối triệu_chứng triệu_chứng kiaxác định nguyên_nhân rối nhiễu cần_thiết nguyên_nhân gốc_rễ triệu_chứng giúp phương_pháp trị_liệu sâu trải_nghiệm giúp hy_vọng tìm_kiếm giúp đỡsự khác_biệt lo_âu trầm cảmlo âu cảm_giác lo_lắng thường_trực kích_hoạt sự_kiện yếu_tố dấu_hiệu thể_chất lo_âu bao_gồm thở cơ_bắp căng_thẳng rối nhiễu lo_âu đôi_khi trải hoảng_loạn biểu_hiện tim đập chóng mặttrầm cảm nỗi buồn kéo_dài hứng_thú hoạt_động thú_vị đặc_trưng năng_lượng cảm_giác đôi_khi ý_nghĩ tự_tử triệu_chứng chồng_chéo lo_âu trầm_cảm nguồn_gốc ví_dụ rối nhiễu lo_âu ngừng hoạt_động rút_lui môi_trường xã_hội bình_thường trải_nghiệm kích_hoạt hoảng_loạn trầm_cảm thu tương_tự trường_hợp trầm_cảm biểu_hiện thu hứng_thú hoạt_động nàymệt mỏi năng_lượng triệu_chứng trầm_cảm lo_âu năng_lượng cảm_giác kiệt_sức mệt_mỏi kiểu suy_nghĩ lo_lắng suy_nghĩ ám_ảnh nghĩ_ngợi miên_man trường_hợp trầm_cảm năng_lượng xảy một_triệu chứng chínhcả hai người_bệnh né_tránh xã_hội mức_độ hoạt_động triệu_chứng nguyên_nhân tiếp_cận xác_định nguyên_nhân vấn đềdấu hiệu lo âunếu triệu_chứng hội_chứng lo âubàn bàn_chân lạnh đổ mồ_hôi tê ngứa ranthở ngắn thở dốcđánh trống_ngực tim đập nhanhsuy dồn dậpkhô miệngkhô miệngbuồn nônchóng mặtđược chẩn_đoán mắc rối_loạn lo_âu nghĩa lo_lắng nguyên_nhân gốc_rễ ví_dụ trải hoảng_loạn lo_lắng xã_hội triệu_chứng trầm_cảm triệu_chứng lo_âu thu cuộc_sống quan_hệ định_chế xã_hội kích_hoạt cảm_giác tuyệt_vọng cô_đơn biểu_hiện tương_tự biểu_hiện trầm cảmlo âu nguyên_nhân nếubạn tiền_sử gia_đình người_thân chứng lo âubạn từng_trải nhút_nhát nhỏbạn trải triệu_chứng trẻnhững chẩn_đoán mắc bệnh trầm_cảm trải cảm_giác lo_âu thuật_ngữ triệu_chứng chứng lo_âu quá_độ đặc_trưng cảm_giác căng_thẳng bồn_chồn cảm_giác tuyệt_vọng đi kèm trầm_cảm lo_lắng tương_lai trải trầm_cảm lo_âu quá_độ nguy_cơ ý_tưởng tự_sát trường_hợp giúp_đỡ trị_liệu phù hợpdấu hiệu trầm cảmtheo phân_loại cẩm_nang chẩn_đoán thống_kê rối_loạn tâm_thần dsm chứng_bệnh trầm_cảm gọi rối_loạn trầm_cảm chủ_yếu trầm_cảm chủ_yếu dựa biểu_hiện giai_đoạn trầm_cảm giai_đoạn trầm_cảm triệu_chứng trầm_cảm trở_nên nghiêm_trọng cản_trở chức_năng sống hàng cạnh trầm_cảm dấu_hiệu cơ_bản làcảm giác buồn dai dẳngrối loạn giấc ngủmệt mỏi cảm_giác đè nặngcảm giác tuyệt_vọng mặc cảmquá trình suy_nghĩ chậm lạisuy chết tửmột trầm_cảm xác_định trầm_cảm sự_kiện cuộc_sống trầm_cảm sinh xảy sinh rối_loạn cảm_xúc mùa sad bao_gồm triệu_chứng trầm_cảm tác_nhân kích_thích biệtnhững chủ_yếu trải lo_âu chẩn_đoán mắc dạng trầm_cảm trường_hợp triệu_chứng coi xảy rối_loạn hỗn_hợp lo_âu trầm_cảm thuật_ngữ hai triệu_chứng riêng_biệt hiện_diện trải_nghiệm cảm_giác đánh_đu lo_âu trầm_cảm khó_chịu vòng xoáy tiêu_cực cân_bằng cần_thiết đượctrầm cảm nguyên_nhân nếunó diễn gia_đình bạngần trải mất_mát đau thươngnếu chẩn_đoán mắc chứng lo_âu dấu_hiệu trầm_cảm mắc chứng lo_âu năng_lượng lo_lắng suy_nghĩ lo_âu năng_lượng công_việc sở_thích hàng lo_âu áp_đảo suy_sụp trông trầm cảmtôi hai hội_chứng lo_âu trầm_cảm chính_xác mắc hai chứng lo_âu trầm_cảm triệu_chứng hội_chứng trông biểu_hiện hội_chứng nghiên_cứu mắc chứng lo_âu lan_toả tiền_sử trầm_cảm trầm_cảm tiền_sử lo_âu nghiên_cứu tỷ_lệ mắc chứng lo_âu trầm_cảm phổ_biến nghĩnghiên cứu mắc hai chứng_bệnh bắt_nguồn chủ_thể mắc hai chứng_bệnh nghĩa trải lo_âu trầm_cảm giai_đoạn cuộc_sống chuyên_gia lo_âu trẻ khả_năng trầm_cảm tương_lai chứng trầm_cảm mắc chứng lo âulàm bối_rối triệu_chứng mìnhcâu trầm_cảm lo_âu chuyên_gia sức_khoẻ tâm_thần tin_cậy trị_liệu đào_tạo xác_định nguyên_nhân gốc_rễ thảo_luận triệu_chứng trị_liệu giúp khám_phá nguồn_gốc tìm_kiếm giúp_đỡ trị_liệu xác_định khắc_phục kiểm_soát nóliệu pháp trò_chuyện talk therapy hữu_ích xác_định nguyên_nhân triệu_chứng trị_liệu đào_tạo giúp sáng_tỏ triệu_chứng xem_xét nguyên_nhân cho_dù trải lo_âu trầm_cảm hai trị_liệu giúp kế_hoạch giải_quyết dài_hạn nghĩa tham_gia trị_liệu điều_trị tâm_lý thuốc điều_trị bác_sĩ tâm_thần kết_hợp trị liệubất trải lo_âu trầm_cảm nguyên_nhân sức_khoẻ tâm_thần điều_trị gọi xác_định gốc giúp cảm_giác lo_âu mơ_hồ cô_đơn trợ_giúp hướng_dẫn cải_thiện sức_khoẻ tâm_thần tham_vấn trị_liệu cậyđọc sách trầm_cảm lo âudạo đọc viết trầm_cảm dịch sách chủ_đề trầmspiderumcom © copyright goodtherapyorg all rights reservedtài liệu tham_khảo viết gốcankrom s february depression and anxiety retrieved from disorders risk factors retrieved from nd is it really depression retrieved from t harrington h caspi et al depression and generalized anxiety disorder cumulative and sequential comorbidity in birth cohort followed prospectively to age years arch gen psychiatry doiarchpsycsmith february anxiety depression how to tell the difference retrieved from or depressed know the difference nd mental health america retrieved from m kent canuso wittenberg g nd the dsm mdd anxious distress specifier useful predictor of risk suicide comorbidities disability and treatments retrieved from cáo đăng đăng compassionvn nguồn_lực cộng_đồng dịch chuyên_gia cộng_tác viết compassion nỗ_lực cải_thiện chất_lượng nội_dung tối_ưu_hoá quy_trình hotrocompassionvn nâng chuyên_môn cộng_tác chuyên_gia wwwcompassionvnexpert đọc kiểm_chứng thông_tin đăng thay_thế giải_pháp chuyên_môn trị_liệu tham_vấn coaching tham_khảo danh_sách compassion wwwcompassionvnbookingnguồn dịch good therapy organization jun is it anxiety or depression how to tell the difference trích dịch anh_đào lê biên_tập nhung lêchuyên gia review thạc_sĩ đoàn thị hương trị liệuhình thức dịch dịch biên_tập hình_thức crowdsourcing wwwcompassionvncrowdsourcing compassion wwwcompassionvnabout,2
gọi tình_yêu,5
đụ_mẹ tục tuần nha,0
gia_đình nam tán chồng gv toán trường hn xinh mkg ngoại_hình tạm ổn là_hơi lễ_phép lớn_tuổi đấy đi mai_mối sợ dám trẩu cá_tính nghịch ngầm lang_thang độc hành du_lịch phim mìnhlang thang thường_xuyên nổi_loạn xách balo trốn đi mặt bố_mẹ phụ_huynh lớn_tuổi ngoan sợ thảo mai giao_tiếp người_lớn dãy trọ trường đh đi tiếp_xúc học_sinh lớp sinh_viên đh độ trẩu độ nghịch ý_định chồng trọ m trắng đẹp_trai thơm đi du_học lớp học xong đh việt_nam học tiếp hn trọ trường tiện hn bố_mẹ chỗ mặc_định vun chị_em thành đôi gọi con_mẹ bảo cưới mẹ thường_xuyên gửi kem trống nắng kem dưỡng da kem dưỡng ẩm kem dưỡng trắng kem trống nhăn toàn hàng nga đức khổ_nỗi lười nguyên hộp bố thường_xuyên gửi trái_cây bánh váy đôi giày quen đồ đóng_thùng đấy nam kia thẳng ngoan bố_mẹ ý_định chồng bình_thường ngại may mua đồ bố_mẹ kia mua sợ trêu đi phí bình_thường sát xóm trọ áp_lực công_việc đi vô_tình túm gáy đi uống bia rượu say_mèm xe hỏng đi chủ_động lịch hỏng xe trở đi h đón đi uống bia đi hoang_mang dần hạn_chế tiếp_xúc sợ hôm_nay uống rượu đi liên_hoan say gọi bố đánh ngã nằm ngủ cửa phòng báo_hại kéo phòng ham yêu tình_cảm làm_bạn kế_hoạch,2
check đoán vui_tính đấy,1
muốiở trường_lớp nhiếp_ảnh dạy yêu_thương xảy khuôn_hình hầu_như chẳng đếnđã inbox công_thức chụp ảnh đẹp câu cực_kỳ mông_lung chả công_thức cầm máy lưu_giữ khuôn_hình bố_cục ánh_sáng màu_sắc kiểm_soát không_gian kỹ_thuật học bổ_trợ mặt kỹ_năng thầy dạy nhiếp_ảnh truyền_đạt yêu_thương xảy ống_kính lắng_nghe ngôn_ngữ hình_ảnh ảnh đẹp chụp chủ_thể mìnhnói đơn_giản thầy truyền_đạt tinh_ý follow facebook hình_ảnh góc chụp bố_cục kỹ_thuật hầu_như khác_biệt lắm ảnh càng_ngày_càng câu_chuyện đọc đồng_cảm đơn_giản hạnh_phúc niềm vui đồng_điệu chẳng gọi cao_siêu cảm_xúc chủ_thể nụ hôn yêu_thương một_chút giao_hoà cầm máy chủ_thể cảm_giác máy trở_nên yên bìnhcũng chụp người_thân ảnh trở_nên bình_yên hạnh_phúc gần_gũi cầm máy đấy khuôn_hình ta truyền_đạt truyền_tải thể_hiện đơn_giản yên_bình xuyên suốt câu_chuyện đời vui buồn an_lành tâm_sự nhiếp_ảnh,5
chỗ học toeic uy_tín dạy đầu_từ đơn_giản dạy kiên_nhẫn học_sinh ngu quyết_tâm học dạy chuyên_ngành du_lịch học quản_trị nhà_hàng khách_sạn học_sinh địa_điểm trung_tâm thành_phố học tối bận lẫn chiều học_phí,5
ý_thức chẳng bao_biện hành_xử đầu tiếng la_hét chửi_rủa,0
nóng_tính hỏng viẹc trẻ_em nhẹ_nhàng cương_quyết,5
chào,1
ngu lỡ ta té chấn_thương đập đầu nuôi việt_nam xúm đánh hội_đồng ôm đầu khóc,5
tao mọc lông chân,2
đống tiền phạt tr tội lợi_dụng tín_ngưỡng lừa_đảo xem_chừng nhẹ tội,0
thương géc nuôi chó chăm tội kiếp chủ như_vầy thân_thương,2
nỗi buồn phiền_muộn suy_tư tâm_sự liệu lắng_nghe liệu ràng chia giải_quyết chôn giấu im_lặng,2
nè,5
tao hao_mòn nhan_sắc,2
đcm da đen fake,0
dume tao phút nhãm cuộc_đời tao,4
sống cuộc_đời vô_lo vô câu trả_lời cuộc_sống không_thể_nào vô_lo cuộc_sống bớt phức_tạp bớt áp_lực bớt mệt_mỏi suy_nghĩ đơn_giản học bỏ_ngoài_tai gièm_pha mệt_mỏi buông buông đừng ép tổn_thương cố_gắng suy_nghĩ bỏ_qua cho_qua vui vui sơ_sơ đời nhẹ hơi thở,2
đen hẳn xấu trắng đẹp vui buồn đừng vội phán_xét,5
niềm cô_đơn bình_tĩnh chân_thật nhấtkhi dần trưởng_thành ngừng chờ_đợi chờ_đợi tình yêurất nhận_thức tồn_tại tình_yêu trực_giác khả_năng tình_yêu gắn liền thấu_hiểu sâu_sắc tình_yêu ta quý_giá cuộc_đời sợ phán_xét ngăn_cách tình_yêu bản_chất sống âm_mưu hình_dung đơn_giản hai người_yêu đứng chiến_tuyến kẻ đần_độn cực_kỳ chiêu trò cướp_đoạt tình_yêu quan_niệm tình_yêu toàn_tâm_toàn_ý hạnh_phúc ngón miệng cắn giúp xác_nhận tình_yêu tưởng_tượng tình_yêu cuộc_sống sainhân danh tình_yêu huyễn_hoặc tình_huống phi_thường yêu sa_đà đi chưng_diện mua quần_áo cầu_kỳ mái_tóc lo_lắng hạn_chế uống ly cocktail màu đậm kết_thúc bình bình đạm đạm tối tẻ_nhạt vụn_vặt khu_vực xa_lạ thị_trấn phòng ngủ hai tiến nguyên_nhân vùng_vằng ngày_trước chấp_nhận hẹn_hò rõ_ràng ta hợp thâm_tâm nỗi lo đoạn tình_yêu phát_triển kỳ_dị đời mơ đời_thường giết chết mộng_mơ yêu hạnh_phúc nuôi_dưỡng niềm tình_cảm tốt_đẹp tự_nhủ ổn hứa taảnh unsplashnhưng nhẹ lướt thập_kỷ trôi mê_hoặc tình_huống rắc_rối phức_tạp tình_yêu nửa cuộc_đời đi tiếng_nói ta mờ_mờ nỗi cô_đơn kinh_hoàng ta vật_lộn có_lẽ đêm khuya ban_ngày xác_suất tình_yêu mặc_dù ta ngừng nỗ_lực tìm_kiếm chết tình_yêu mong muốncó tình_yêu xảy quá_khứ phức_tạp tin_tưởng sâu_sắc xấu_xí tự_tin may_mắn mỏng_manh hy_vọng niềm rủi_ro mặc_dù dụng_tâm cố_gắng nổ lực gấp đôi cố_gắng tình_yêu ta mong_muốn tình_yêu ngó_ngàng con_người dũng_cảm tốt_đẹp tình_yêu lạimột thất_vọng điển_hình nỗi_niềm ảm_đạm có_lẽ vội kết_thúc mặc_dù giai_đoạn ta hy_vọng ngọt_ngào mãi quanh ta rời đi lẽ thường_tình đầu kỷ_niệm rời đi hiện_thân thiên_thần chết lãng_mạn quyết_liệt mơ_hồ đẩy trạng_thái lửng_lơ tỉnh_táo ý_nghĩa cuộc_đời quyết_định yêu ghét trái_tim khoảnh_khắc may ghét đằng cánh cửa im_ỉm đóng kín cảnh_tượng mấy đẹp_đẽ đấng tối_cao che_chở riêng_tư thế_giới trắc_ẩn viễn_cảnh tồi_tệ quên đi giây_phút tuyệt_vọng giọt nước_mắt miệt_thị cay_đắng thương_hại hận_thù đi giới_hạn con_người ta chịu_đựng công_bằng màn đêm chút phá vỡ rào_cản hy_vọng niềm chật_hẹp đời_thường đi vươn lối mòn xưa cũ ngoảnh đầu hối_tiếc nhớ_nhung biên_bản tất_nhiên ngớ_ngẩn quy_luật phát_sinh biến_đổi tâm_lý bình_thường cơ_chế điều_chỉnh cách_thức giải_quyết bản_chất ta đi giải_quyết xảy quá_khứ thăng_trầm sinh_vật đối_diện chết ngày_mai thẩm sâu ta tiếng gọi tim thịnh_nộ dữ_dội xung_quanh chấp_nhận phán_xét chịu_đựng nói_chuyện đi khúc ruột cơ_thể bác_sĩ diễn_biến bệnh_tình giải_pháp quyết_định đeo ống truyền thức_ăn túi ruột giả thay_vì nói_chuyện ta giao_tiếp mí mắt run_rẩy giải_pháp thay thếảnh mark adriane markadrianeso of course we deal with the cataclysmic lack of love đối_mặt thiếu_thốn tình_yêu thảm_khốc trận đại_hồng_thuỷ bình_minh thức_giấc chút lạnh_lẽo nghiêm_trang khẩn_thiết ta cảm_nhận chút bình_yên ảm_đạm tỉnh_táo sớm_mai tinh_tươm dọn giường xoá tan nỗi tuyệt_vọng hành_trình đời mìnhcó niềm an_ủi xảy vô_nghĩa thách_thức tình_yêu con_người sai_trái vũ_trụ dạo mớ tình_cảm vô_nghĩa vô_cảm cuộc_sống nghệ_thuật đằng tuyệt_tác thiên_tài trải nỗi cô_đơn nỗi buồn đám đông thời_đại bậc thầy nghệ_thuật baudelaire leopardi pessoa pascal bày_tỏ nỗi buồn nhỏ_bé nội_tại giai_đoạn siêu_việt hùng_mạnh cảnh_giới cảm_giác hối_tiếc trang_nghiêm nỗi buồn thể_hiện trừu_tượng an_ủi tình xoá tan nỗi cô_đơn giúp ta xoa_dịu nỗi buồn thẩm sâu giúp_đỡ chết chuyện_trò quẩn_quanh tế_bần xoá_bỏ kết_thúc câu_chuyện hề đơn_độc số_liệu thống_kê bình_thường lành_mạnh hiện_thân thiểu_số câu_chuyện góc khuất chôn giấu miền đau_khổ ngườikhông yêu_thương gánh cuộc_đời nỗi đau_khổ kéo_dài thiếu_niên đi tình_yêu ta bia mộ bí_mật ghi tình_yêu mong_mỏi văn_bia trẻ_em sợ_hãi trấn_an chẳng may đeo xúc nghĩa ta ghi hành_trình chân_thật khao_khát tình_yêu sự_thật xảy phao cứu_rỗi hiện_hữu đời trung_thực bình_tĩnh hiếm cóif love never came from the start of adulthood we have been waiting we understood love intuitively long before it was ever practical possibility we knew that it was bound up with sense of being profoundly understood and finally able to say everything without fear of judgement or censure love was twoperson conspiracy against everyone elsewwwtheschooloflifecomchuyển ngữ hoàng thy,2
đọc xong hơi rưng_rưng,2
ta ta,1
tiền bền kiếm tiền trời rơi đợi công_việc ổn_định đi xinvà nổ lực công_việc chạy người_yêu đi xã_giao kết_bạn bè ru_rú chẳng tồn_tại yêu lỡ tình đi mua chờ tặng đời ông_già noen buồn khóc lau nước_mắt ta giúp khăn giấy làm_bạn ngừng khóc vấp_ngã học đứng dậy ta giúp giúp mãi đi du_lịch tích_luỹ tiền đi đi mơ giấc mơ,2
thanh_niên tham_gia thi lể ốc thanh_niên luật_chơi hơi ác nhơn lể mấy rổ ốc vận_động_viên đếm lể phân_định thắng thua giải_thưởng thắng ban tổ_chức tiết_lộ kênh qn,1
bảo đầu tao đầu bùi_dume đánh chết_cha,4
lũ hèn mấy đứa,0
rọ_mõm chủ,0
